,X1,Y1,X2,Y2,From_ID,To_ID, Edge_ID,Distance_km,Average_speed,Edge_Traffic
10927,29.167973,41.018262,29.167502,41.017871,332.69799,332.69289,665.39088,0.058411552,16,"(332.69799, 332.69289)"
10928,29.163847,41.016407,29.163747,41.016051,332.65488,332.65352,665.3084,0.040378265,34,"(332.65488, 332.65352)"
10929,29.164242,41.013154,29.164532,41.01136,332.65557,332.65668,665.31225,0.200583436,60,"(332.65557, 332.65668)"
10930,29.164532,41.01136,29.164006,41.010027,332.65668,332.65009,665.30677,0.154269473,59,"(332.65668, 332.65009)"
10931,29.164006,41.010027,29.163371,41.009233,332.65009,332.64294,665.29303,0.10269089,59,"(332.65009, 332.64294)"
10932,29.163371,41.009233,29.16178,41.007211,332.64294,332.62501,665.26795,0.260407769,59,"(332.64294, 332.62501)"
10933,29.16178,41.007211,29.161721,41.007122,332.62501,332.62433,665.24934,0.011026117,57,"(332.62501, 332.62433)"
10934,29.161721,41.007122,29.161636,41.007029,332.62433,332.62339,665.24772,0.012503494,56,"(332.62433, 332.62339)"
10935,29.161636,41.007029,29.159324,41.004472,332.62339,332.59771,665.2211,0.342610334,43,"(332.62339, 332.59771)"
10936,29.181311,41.015861,29.182115,41.016159,332.82897,332.83731,665.66628,0.074480292,25,"(332.82897, 332.83731)"
10937,29.172991,41.031478,29.172917,41.031499,332.76139,332.76067,665.52206,0.006569454,13,"(332.76139, 332.76067)"
10938,29.172142,41.029962,29.172081,41.029984,332.75138,332.75079,665.50217,0.005621151,33,"(332.75138, 332.75079)"
10939,29.167907,41.020987,29.167772,41.020989,332.70006,332.69871,665.39877,0.011207199,44,"(332.70006, 332.69871)"
10940,29.17303,41.031545,29.172951,41.031564,332.76185,332.76107,665.52292,0.006887825,5,"(332.76185, 332.76107)"
10941,29.168013,41.021841,29.167881,41.021861,332.70197,332.70067,665.40264,0.011178655,42,"(332.70197, 332.70067)"
10942,29.170418,41.026772,29.170533,41.026738,332.73095,332.73207,665.46302,0.01026402,10,"(332.73095, 332.73207)"
10943,29.1687,41.023283,29.168582,41.023317,332.71028,332.70914,665.41942,0.010495976,12,"(332.71028, 332.70914)"
10944,29.169376,41.024922,29.169518,41.024889,332.71868,332.72007,665.43875,0.012342097,9,"(332.71868, 332.72007)"
10945,29.168202,41.022597,29.168337,41.022559,332.70462,332.70593,665.41055,0.011972617,12,"(332.70462, 332.70593)"
10946,29.169009,41.023899,29.16888,41.023926,332.71399,332.71273,665.42672,0.011118537,44,"(332.71399, 332.71273)"
10947,29.169989,41.025767,29.169856,41.025805,332.72566,332.72437,665.45003,0.011817404,46,"(332.72566, 332.72437)"
10948,29.147463,41.016052,29.147479,41.016123,332.49068,332.49091,664.98159,0.007992105,37,"(332.49068, 332.49091)"
10949,29.151431,41.015869,29.151446,41.015788,332.53018,332.53025,665.06043,0.009076789,12,"(332.53018, 332.53025)"
10950,29.149424,41.015967,29.149429,41.015892,332.51021,332.51018,665.02039,0.008335337,34,"(332.51021, 332.51018)"
10951,29.156086,41.016716,29.156075,41.01681,332.57758,332.57756,665.15514,0.010473869,53,"(332.57758, 332.57756)"
10952,29.171767,41.017847,29.171789,41.017918,332.73552,332.73581,665.47133,0.008089774,5,"(332.73552, 332.73581)"
10953,29.168227,41.018504,29.167907,41.020987,332.70077,332.70006,665.40083,0.276889796,54,"(332.70077, 332.70006)"
10954,29.167907,41.020987,29.168013,41.021841,332.70006,332.70197,665.40203,0.095201404,55,"(332.70006, 332.70197)"
10955,29.168013,41.021841,29.168337,41.022559,332.70197,332.70593,665.4079,0.084112727,54,"(332.70197, 332.70593)"
10956,29.168337,41.022559,29.1687,41.023283,332.70593,332.71028,665.41621,0.085826156,55,"(332.70593, 332.71028)"
10957,29.1687,41.023283,29.169009,41.023899,332.71028,332.71399,665.42427,0.073027707,55,"(332.71028, 332.71399)"
10958,29.169009,41.023899,29.169518,41.024889,332.71399,332.72007,665.43406,0.117731139,55,"(332.71399, 332.72007)"
10959,29.169518,41.024889,29.169989,41.025767,332.72007,332.72566,665.44573,0.105006307,54,"(332.72007, 332.72566)"
10960,29.169989,41.025767,29.170533,41.026738,332.72566,332.73207,665.45773,0.116856523,54,"(332.72566, 332.73207)"
10961,29.170533,41.026738,29.171343,41.028584,332.73207,332.74201,665.47408,0.215653291,55,"(332.73207, 332.74201)"
10962,29.171343,41.028584,29.171619,41.029104,332.74201,332.74529,665.4873,0.062099717,54,"(332.74201, 332.74529)"
10963,29.163451,41.016656,29.162819,41.016532,332.65117,332.64472,665.29589,0.054231722,36,"(332.65117, 332.64472)"
10964,29.163415,41.016528,29.163369,41.016449,332.65068,332.65014,665.30082,0.009564125,32,"(332.65068, 332.65014)"
10965,29.163369,41.016449,29.163286,41.016307,332.65014,332.64917,665.29931,0.017201714,41,"(332.65014, 332.64917)"
10966,29.164617,41.016564,29.164694,41.016374,332.66273,332.66331,665.32604,0.022037082,14,"(332.66273, 332.66331)"
10967,29.164288,41.016266,29.164237,41.016511,332.65915,332.65888,665.31803,0.027522469,21,"(332.65915, 332.65888)"
10968,29.1634,41.016044,29.163747,41.016051,332.65004,332.65352,665.30356,0.028811479,21,"(332.65004, 332.65352)"
10969,29.163747,41.016051,29.163802,41.016052,332.65352,332.65407,665.30759,0.004566349,15,"(332.65352, 332.65407)"
10970,29.161104,41.007418,29.157999,41.00873,332.61846,332.58872,665.20718,0.296016386,48,"(332.61846, 332.58872)"
10971,29.157999,41.00873,29.14058,41.016085,332.58872,332.42189,665.01061,1.66035787,60,"(332.58872, 332.42189)"
10972,29.161104,41.007418,29.161287,41.007301,332.61846,332.62017,665.23863,0.019984191,35,"(332.61846, 332.62017)"
10973,29.161287,41.007301,29.161721,41.007122,332.62017,332.62433,665.2445,0.041138323,34,"(332.62017, 332.62433)"
10974,29.161721,41.007122,29.161829,41.007076,332.62433,332.62537,665.2497,0.010316227,34,"(332.62433, 332.62537)"
